ID,Engagement Type,Company Name,Solution Engineer,Created,Core Platform,Challenge / Pain,TechWin Requirements,Integrations,DocAutomation,Mobile,In Person or Remote,With Partner?,RPA,Seller,Is Professional Services
1288,Demo Request,Queensland Museums,Barry Cairns,45063.89454,"Automation Cloud
","Same engagement done for QLD Libraries and QPAC please! Thank you

Next Wednesday 24th May at 10am",,,FALSE,FALSE,Remote,FALSE,FALSE,Sarah Mainprize,FALSE
1287,Demo Request,Amplify Health,Thomas Kohlenbach,45061.10889,"Process Manager
","customer is assigned to find a process mapping tool to better document their processes
currently using PDF, PPT, and he agrees is not the best way to map out processes. Not user friendly for new joiners",Will like to see a custom demo based on their use cases as per attachment.,,FALSE,TRUE,Remote,FALSE,FALSE,Rachel Lim,FALSE
1286,Demo Request,Wyvern Hospital,Chris Ellis,45060.80481,"RPA
Automation Cloud
Process Manager
","Demo Presentation to Director, Clinical Services. 

Looking to understand both Process Manager & Automation (focus on automation however).

Opp brought to us by a partner with champion at Wyvern being the IT Consultant. 

Focus on two use cases ideally to showcase (realise that we may not have time to tailor it so our basic onboarding demo would be great as they need to onboard 200+ employees). 

1st - What about employee onboarding with something along the lines of:
-send IT tasks to IT Manager, automatically add user to the Azure tenancy and group
-Send HR tasks to HR manager
-Send a contract for signature



2. Simplified Admissions process:
Patient arrives at the hospital.
Check-in process: The patient proceeds to the check-in counter.
Registration process: The patient provides necessary information for registration.
Collect patient information.
Verify insurance coverage.
Collect insurance information.
Verify patient information and insurance coverage.
Assign identification and bed for the patient.
Provide admission forms to the patient.
Complete necessary paperwork.
Conduct a medical screening process.
Assess the patient's condition.
Assign the patient to an appropriate unit or room.
Provide patient orientation.
Proceed with patient admission.
Handover the patient to the care team.",,,FALSE,FALSE,Remote,TRUE,FALSE,Dean Ornelas,FALSE
1285,Proceed to Custom Demo,Department of Communities,Chris Ellis,45060.62934,Automation Cloud,Document Generation/Automation was of interest in this conversation.,Provide examples/use cases as food for thought and overview demo videos.,,TRUE,FALSE,Remote,FALSE,FALSE,Sam Gilmore,FALSE
1284,Discovery & Qualification Assistance,Winarch,Thomas Kohlenbach,45057.89591,"Process Manager
",,,,,,In Person,FALSE,,Jesse Fallowfield,
1283,Passed to Partner,Wipro,Ranjit Ramachandran,45057.05914,,,,,FALSE,FALSE,,FALSE,FALSE,Eddy ,FALSE
1282,Passed to Partner,Motherson,Ranjit Ramachandran,45057.05882,,,,,FALSE,FALSE,,FALSE,FALSE,Eddy ,FALSE
1281,Passed to Partner,Writer Information,Ranjit Ramachandran,45057.05733,,,,,FALSE,FALSE,,FALSE,FALSE,Eddy ,FALSE
1280,Discovery & Qualification Assistance,Feros Care,Thomas Kohlenbach,45056.72791,"Process Manager
",,,,,,Remote,FALSE,,Sam Gilmore,
1279,Proceed to Custom Demo,NZSIS,Chris Ben,45056.65512,Automation On-Prem,"Customer is looking to move away from Sharepoint On Prem into another on prem solution like K2.

Intially they were considering SPSE but due to the nintex forms and wf being built on SP2010 WF engine, there is a concern around continued investment into a product that will have a short life time.

They need a full demo of the K2 platform focusing on differences in functionality between that and their current SP2013 forms and WF tools.

Its critical to note that security is paramount for this customer as the Secret Intelligence Service for NZ. Cloud is not really an option for them at this time.",Equal or greater functionality when compared to SP2013. Build process and environment.,Not that I am aware of.,FALSE,FALSE,Remote,TRUE,FALSE,Sam Williams,FALSE
1278,Demo Request,Portable Long Service Authority,Thomas Kohlenbach,45055.99919,"Process Manager
","Motion: Inbound

Ashley is the Senior IT and Facilites Manager of PLSA, interested in Promapp. Wants a program to review all of their processes, get their staff trained, mature their documentation processes, along with the ability to review them periodically.

The key areas of processes that they current have are registrations of employers in their schemes of about 250k people, invoicing, compliance and enforcement, reimbursement.

Current procedures are manual, using Visio charts and other bits and bobs, hence looking for a central repository.

Total headcount of 60, but looking at 10-15 business users.

Ideal timeline would be to have a solution up and running before the new FY as they have broader projects that they would like to map for.","Standardised demo of Process Manager and how lean methodologies can be adopted to identify non value add. Also showcase governance around process i.e approvals, reviews and accountability of responsibility.",NA,FALSE,FALSE,,FALSE,FALSE,Raffaele Malvaso,FALSE
1277,Discovery & Qualification Assistance,New Zealand Health Partnerships,Chris Ben,45055.79182,"RPA
Automation Cloud
Process Manager
",,,,,,Remote,FALSE,,John Forsdick,
1276,Discovery & Qualification Assistance,Indosat,Thomas Kohlenbach,45055.01434,"Process Manager
",,,,,,Remote,TRUE,,Adi Hasan,
1275,Discovery & Qualification Assistance,Bowens,Chris Ben,45054.98488,"RPA
Process Manager
",,,,,,Remote,FALSE,,Rufus OBrien,
1274,Discovery & Qualification Assistance,Writer Information,Ranjit Ramachandran,45054.05477,"Automation Cloud
",,,,,,Remote,FALSE,,Eddy Lee,
1273,Discovery & Qualification Assistance,NZSIS,Chris Ben,45053.75463,"Automation On-Prem
",,,,,,Remote,TRUE,,Sam Williams,
1272,Passed to Partner,Protiviti Hong Kong,Thomas Kohlenbach,45053.73605,,,,,FALSE,FALSE,,FALSE,FALSE,Rachel ,FALSE
1271,Discovery & Qualification Assistance,MUFG BANK Indonesia,Barry Cairns,45050.7235,"Automation On-Prem
",,,,,,Remote,FALSE,,Adi Hasan,
1270,Discovery & Qualification Assistance,Adani Connect India,Ranjit Ramachandran,45049.11876,"Automation Cloud
",,,,,,Remote,FALSE,,Eddy Lee,
1269,Discovery & Qualification Assistance,CIMB Singapore,Ranjit Ramachandran,45049.11638,"Automation Cloud
",,,,,,Remote,FALSE,,Eddy Lee,
